file,status,evidence
./app/ui/web_ecosystem/lodash_groupby_count.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lodash_groupby.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lodash_groupby_partition.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lodash_groupby_types.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/web_ecosystem/lodash_merge.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lodash_throttle.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lru_cache_2slot.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/markdown_to_html.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/mime_types.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/web_ecosystem/multipart_boundary.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/nanoid_generator.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/patch_apply.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/path_to_regexp.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/qs_query_string.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/retry_backoff.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/semver_comparator.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/semver.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/semver_range.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/slugify_string.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/template_handlebars.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/template_mustache.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/terminal_spinners.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/terminal_table_formatter.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/ulid_generator.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/url_pattern.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/uuid_v7.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/web_ecosystem.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/web_ecosystem_stubs.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/web_ecosystem/zod_array_schema.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/zod_number_validator.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/zod_object_schema.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/zod_schema_types.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/web_ecosystem/zod_string_validator.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/wui/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./app/ui/wui/wui_app.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_canvas_context.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_canvas_renderer.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_components.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_diff.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_event_bridge.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_event_router.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_patch.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
